Date and Time,Voltage,TotalCurrent,Tank Mode: Left Y Axis,Tank Mode: Right Y Axis,Arcade Mode: Speed (1 to -1),Arcade Mode: Right X Axis,Drive Mode,UpperLimitSwitchState,LowerLimitSwitchState,StackerEncoderDistance,StackerMotorValue,Claw Pressure,Left Drive Speed,Right Drive Speed,X-position,Y-position,Heading,Traveled
20150210_054532977,0.628547361,0.128949008,0.3848661786,0.9351961161,0.4573266316,0.1510560843,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054533789,0.8200149759,0.7152407124,0.6359196929,0.8422104638,0.7657151749,0.1555223393,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054534578,0.8246173074,0.5496362485,0.6425923057,0.5836870275,0.5940566012,0.8398972411,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054535364,0.9406095033,0.02721562124,0.4306362766,0.1980857732,0.5613048051,0.9307629472,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054536177,0.4180406133,0.5644707065,0.2200623542,0.5171460467,0.694496136,0.6472967487,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054536990,0.5373934494,0.0832872381,0.4091614553,0.0717098647,0.3943614186,0.1262930271,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054537802,0.9209209139,0.3674428201,0.09525404975,0.5227427903,0.261384618,0.3848397597,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054538615,0.09436949219,0.8825746529,0.2770127684,0.1392033274,0.5022149789,0.7150452459,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054539421,0.08786522592,0.9054295691,0.1710509525,0.7538537728,0.7520406087,0.6345062844,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054540234,0.9175954845,0.2612105406,0.6393426696,0.2352163493,0.4339238946,0.6029747266,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054541046,0.6937120368,0.6399890936,0.6732352982,0.6892583125,0.4395352476,0.9679247172,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054541859,0.5758430184,0.3699454589,0.880344861,0.4323606559,0.9660886404,0.7714756906,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054542669,0.4041874905,0.06645213277,0.5127933728,0.07468947615,0.7383339247,0.3398809779,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054543481,0.4497163717,0.1358664423,0.976437923,0.06259378465,0.7665129775,0.03389228587,Tank,0,1,0,0,-1,0,0,0,0,0,0
