Segment Number,Time,Position,Velocity,Acceleration
1,.020,-.000,-.000,-240.000
1,.020,-.048,-4.800,-240.000
1,.020,-.192,-9.600,-240.000
1,.020,-.432,-14.400,-240.000
1,.020,-.768,-19.200,-240.000
1,.020,-1.200,-24.000,-240.000
1,.020,-1.728,-28.800,-240.000
1,.020,-2.352,-33.600,-240.000
1,.020,-3.072,-38.400,-240.000
1,.020,-3.888,-43.200,-240.000
1,.020,-4.800,-48.000,-240.000
1,.020,-5.808,-52.800,-240.000
1,.020,-6.912,-57.600,-240.000
2,.020,-7.500,-60.000,.000
2,.020,-8.700,-60.000,.000
2,.020,-9.900,-60.000,.000
2,.020,-11.100,-60.000,.000
2,.020,-12.300,-60.000,.000
2,.020,-13.500,-60.000,.000
2,.020,-14.700,-60.000,.000
2,.020,-15.900,-60.000,.000
2,.020,-17.100,-60.000,.000
2,.020,-18.300,-60.000,.000
2,.020,-19.500,-60.000,.000
2,.020,-20.700,-60.000,.000
2,.020,-21.900,-60.000,.000
3,.020,-22.500,-60.000,240.000
3,.020,-23.652,-55.200,240.000
3,.020,-24.708,-50.400,240.000
3,.020,-25.668,-45.600,240.000
3,.020,-26.532,-40.800,240.000
3,.020,-27.300,-36.000,240.000
3,.020,-27.972,-31.200,240.000
3,.020,-28.548,-26.400,240.000
3,.020,-29.028,-21.600,240.000
3,.020,-29.412,-16.800,240.000
3,.020,-29.700,-12.000,240.000
3,.020,-29.892,-7.200,240.000
3,.020,-29.988,-2.400,240.000
3,.020,-30.000,.000,.000
