Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,60.000
1,.020,.012,1.200,60.000
1,.020,.048,2.400,60.000
1,.020,.108,3.600,60.000
1,.020,.192,4.800,60.000
1,.020,.300,6.000,60.000
1,.020,.432,7.200,60.000
1,.020,.588,8.400,60.000
1,.020,.768,9.600,60.000
1,.020,.972,10.800,60.000
1,.020,1.200,12.000,60.000
1,.020,1.452,13.200,60.000
1,.020,1.728,14.400,60.000
1,.020,2.028,15.600,60.000
1,.020,2.352,16.800,60.000
1,.020,2.700,18.000,60.000
1,.020,3.072,19.200,60.000
1,.020,3.468,20.400,60.000
1,.020,3.888,21.600,60.000
1,.020,4.332,22.800,60.000
2,.020,4.800,24.000,.000
2,.020,5.280,24.000,.000
2,.020,5.760,24.000,.000
2,.020,6.240,24.000,.000
2,.020,6.720,24.000,.000
2,.020,7.200,24.000,.000
2,.020,7.680,24.000,.000
2,.020,8.160,24.000,.000
2,.020,8.640,24.000,.000
2,.020,9.120,24.000,.000
2,.020,9.600,24.000,.000
2,.020,10.080,24.000,.000
2,.020,10.560,24.000,.000
2,.020,11.040,24.000,.000
2,.020,11.520,24.000,.000
2,.020,12.000,24.000,.000
2,.020,12.480,24.000,.000
2,.020,12.960,24.000,.000
2,.020,13.440,24.000,.000
2,.020,13.920,24.000,.000
2,.020,14.400,24.000,.000
2,.020,14.880,24.000,.000
2,.020,15.360,24.000,.000
2,.020,15.840,24.000,.000
2,.020,16.320,24.000,.000
2,.020,16.800,24.000,.000
2,.020,17.280,24.000,.000
2,.020,17.760,24.000,.000
2,.020,18.240,24.000,.000
2,.020,18.720,24.000,.000
2,.020,19.200,24.000,.000
2,.020,19.680,24.000,.000
2,.020,20.160,24.000,.000
2,.020,20.640,24.000,.000
2,.020,21.120,24.000,.000
2,.020,21.600,24.000,.000
2,.020,22.080,24.000,.000
2,.020,22.560,24.000,.000
2,.020,23.040,24.000,.000
2,.020,23.520,24.000,.000
2,.020,24.000,24.000,.000
2,.020,24.480,24.000,.000
2,.020,24.960,24.000,.000
2,.020,25.440,24.000,.000
2,.020,25.920,24.000,.000
2,.020,26.400,24.000,.000
2,.020,26.880,24.000,.000
2,.020,27.360,24.000,.000
2,.020,27.840,24.000,.000
2,.020,28.320,24.000,.000
2,.020,28.800,24.000,.000
2,.020,29.280,24.000,.000
2,.020,29.760,24.000,.000
2,.020,30.240,24.000,.000
2,.020,30.720,24.000,.000
2,.020,31.200,24.000,.000
2,.020,31.680,24.000,.000
2,.020,32.160,24.000,.000
2,.020,32.640,24.000,.000
2,.020,33.120,24.000,.000
2,.020,33.600,24.000,.000
2,.020,34.080,24.000,.000
2,.020,34.560,24.000,.000
2,.020,35.040,24.000,.000
2,.020,35.520,24.000,.000
2,.020,36.000,24.000,.000
2,.020,36.480,24.000,.000
2,.020,36.960,24.000,.000
2,.020,37.440,24.000,.000
