Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,600.000
1,.020,.120,12.000,600.000
1,.020,.480,24.000,600.000
1,.020,1.080,36.000,600.000
1,.020,1.920,48.000,600.000
1,.020,3.000,60.000,600.000
1,.020,4.320,72.000,600.000
1,.020,5.880,84.000,600.000
1,.020,7.680,96.000,600.000
1,.020,9.720,108.000,600.000
1,.020,12.000,120.000,600.000
1,.020,14.520,132.000,600.000
1,.020,17.280,144.000,600.000
1,.020,20.280,156.000,600.000
1,.020,23.520,168.000,600.000
2,.020,27.000,180.000,.000
2,.020,30.600,180.000,.000
2,.020,34.200,180.000,.000
2,.020,37.800,180.000,.000
2,.020,41.400,180.000,.000
2,.020,45.000,180.000,.000
2,.020,48.600,180.000,.000
2,.020,52.200,180.000,.000
2,.020,55.800,180.000,.000
2,.020,59.400,180.000,.000
3,.020,63.000,180.000,-600.000
3,.020,66.480,168.000,-600.000
3,.020,69.720,156.000,-600.000
3,.020,72.720,144.000,-600.000
3,.020,75.480,132.000,-600.000
3,.020,78.000,120.000,-600.000
3,.020,80.280,108.000,-600.000
3,.020,82.320,96.000,-600.000
3,.020,84.120,84.000,-600.000
3,.020,85.680,72.000,-600.000
3,.020,87.000,60.000,-600.000
3,.020,88.080,48.000,-600.000
3,.020,88.920,36.000,-600.000
3,.020,89.520,24.000,-600.000
3,.020,89.880,12.000,-600.000
3,.020,90.000,.000,.000
