Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,600.000
1,.020,.120,12.000,600.000
2,.020,.333,20.000,.000
2,.020,.733,20.000,.000
2,.020,1.133,20.000,.000
2,.020,1.533,20.000,.000
2,.020,1.933,20.000,.000
2,.020,2.333,20.000,.000
2,.020,2.733,20.000,.000
2,.020,3.133,20.000,.000
2,.020,3.533,20.000,.000
2,.020,3.933,20.000,.000
2,.020,4.333,20.000,.000
2,.020,4.733,20.000,.000
2,.020,5.133,20.000,.000
2,.020,5.533,20.000,.000
2,.020,5.933,20.000,.000
2,.020,6.333,20.000,.000
2,.020,6.733,20.000,.000
2,.020,7.133,20.000,.000
2,.020,7.533,20.000,.000
2,.020,7.933,20.000,.000
2,.020,8.333,20.000,.000
2,.020,8.733,20.000,.000
2,.020,9.133,20.000,.000
2,.020,9.533,20.000,.000
2,.020,9.933,20.000,.000
2,.020,10.333,20.000,.000
2,.020,10.733,20.000,.000
2,.020,11.133,20.000,.000
2,.020,11.533,20.000,.000
2,.020,11.933,20.000,.000
2,.020,12.333,20.000,.000
2,.020,12.733,20.000,.000
2,.020,13.133,20.000,.000
2,.020,13.533,20.000,.000
2,.020,13.933,20.000,.000
2,.020,14.333,20.000,.000
2,.020,14.733,20.000,.000
2,.020,15.133,20.000,.000
2,.020,15.533,20.000,.000
2,.020,15.933,20.000,.000
2,.020,16.333,20.000,.000
2,.020,16.733,20.000,.000
2,.020,17.133,20.000,.000
2,.020,17.533,20.000,.000
2,.020,17.933,20.000,.000
2,.020,18.333,20.000,.000
2,.020,18.733,20.000,.000
2,.020,19.133,20.000,.000
2,.020,19.533,20.000,.000
2,.020,19.933,20.000,.000
2,.020,20.333,20.000,.000
2,.020,20.733,20.000,.000
2,.020,21.133,20.000,.000
2,.020,21.533,20.000,.000
2,.020,21.933,20.000,.000
2,.020,22.333,20.000,.000
2,.020,22.733,20.000,.000
2,.020,23.133,20.000,.000
2,.020,23.533,20.000,.000
2,.020,23.933,20.000,.000
2,.020,24.333,20.000,.000
2,.020,24.733,20.000,.000
2,.020,25.133,20.000,.000
2,.020,25.533,20.000,.000
2,.020,25.933,20.000,.000
2,.020,26.333,20.000,.000
2,.020,26.733,20.000,.000
2,.020,27.133,20.000,.000
2,.020,27.533,20.000,.000
2,.020,27.933,20.000,.000
2,.020,28.333,20.000,.000
2,.020,28.733,20.000,.000
2,.020,29.133,20.000,.000
2,.020,29.533,20.000,.000
2,.020,29.933,20.000,.000
2,.020,30.333,20.000,.000
2,.020,30.733,20.000,.000
2,.020,31.133,20.000,.000
2,.020,31.533,20.000,.000
2,.020,31.933,20.000,.000
2,.020,32.333,20.000,.000
2,.020,32.733,20.000,.000
2,.020,33.133,20.000,.000
2,.020,33.533,20.000,.000
2,.020,33.933,20.000,.000
2,.020,34.333,20.000,.000
2,.020,34.733,20.000,.000
2,.020,35.133,20.000,.000
2,.020,35.533,20.000,.000
2,.020,35.933,20.000,.000
2,.020,36.333,20.000,.000
2,.020,36.733,20.000,.000
2,.020,37.133,20.000,.000
2,.020,37.533,20.000,.000
2,.020,37.933,20.000,.000
2,.020,38.333,20.000,.000
2,.020,38.733,20.000,.000
2,.020,39.133,20.000,.000
2,.020,39.533,20.000,.000
2,.020,39.933,20.000,.000
2,.020,40.333,20.000,.000
2,.020,40.733,20.000,.000
2,.020,41.133,20.000,.000
2,.020,41.533,20.000,.000
2,.020,41.933,20.000,.000
2,.020,42.333,20.000,.000
2,.020,42.733,20.000,.000
2,.020,43.133,20.000,.000
2,.020,43.533,20.000,.000
2,.020,43.933,20.000,.000
2,.020,44.333,20.000,.000
2,.020,44.733,20.000,.000
2,.020,45.133,20.000,.000
2,.020,45.533,20.000,.000
2,.020,45.933,20.000,.000
2,.020,46.333,20.000,.000
2,.020,46.733,20.000,.000
2,.020,47.133,20.000,.000
2,.020,47.533,20.000,.000
2,.020,47.933,20.000,.000
2,.020,48.333,20.000,.000
2,.020,48.733,20.000,.000
2,.020,49.133,20.000,.000
2,.020,49.533,20.000,.000
2,.020,49.933,20.000,.000
2,.020,50.333,20.000,.000
2,.020,50.733,20.000,.000
2,.020,51.133,20.000,.000
2,.020,51.533,20.000,.000
2,.020,51.933,20.000,.000
2,.020,52.333,20.000,.000
2,.020,52.733,20.000,.000
2,.020,53.133,20.000,.000
2,.020,53.533,20.000,.000
2,.020,53.933,20.000,.000
2,.020,54.333,20.000,.000
2,.020,54.733,20.000,.000
2,.020,55.133,20.000,.000
2,.020,55.533,20.000,.000
2,.020,55.933,20.000,.000
2,.020,56.333,20.000,.000
2,.020,56.733,20.000,.000
2,.020,57.133,20.000,.000
2,.020,57.533,20.000,.000
2,.020,57.933,20.000,.000
2,.020,58.333,20.000,.000
2,.020,58.733,20.000,.000
2,.020,59.133,20.000,.000
2,.020,59.533,20.000,.000
2,.020,59.933,20.000,.000
2,.020,60.333,20.000,.000
2,.020,60.733,20.000,.000
2,.020,61.133,20.000,.000
2,.020,61.533,20.000,.000
2,.020,61.933,20.000,.000
2,.020,62.333,20.000,.000
2,.020,62.733,20.000,.000
2,.020,63.133,20.000,.000
2,.020,63.533,20.000,.000
2,.020,63.933,20.000,.000
2,.020,64.333,20.000,.000
2,.020,64.733,20.000,.000
2,.020,65.133,20.000,.000
2,.020,65.533,20.000,.000
2,.020,65.933,20.000,.000
2,.020,66.333,20.000,.000
2,.020,66.733,20.000,.000
2,.020,67.133,20.000,.000
2,.020,67.533,20.000,.000
2,.020,67.933,20.000,.000
2,.020,68.333,20.000,.000
2,.020,68.733,20.000,.000
2,.020,69.133,20.000,.000
