Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,200.000
1,.020,.040,4.000,200.000
1,.020,.160,8.000,200.000
1,.020,.360,12.000,200.000
1,.020,.640,16.000,200.000
1,.020,1.000,20.000,200.000
1,.020,1.440,24.000,200.000
1,.020,1.960,28.000,200.000
1,.020,2.560,32.000,200.000
1,.020,3.240,36.000,200.000
1,.020,4.000,40.000,200.000
1,.020,4.840,44.000,200.000
1,.020,5.760,48.000,200.000
1,.020,6.760,52.000,200.000
1,.020,7.840,56.000,200.000
2,.020,9.000,60.000,.000
2,.020,10.200,60.000,.000
2,.020,11.400,60.000,.000
2,.020,12.600,60.000,.000
2,.020,13.800,60.000,.000
2,.020,15.000,60.000,.000
2,.020,16.200,60.000,.000
2,.020,17.400,60.000,.000
2,.020,18.600,60.000,.000
2,.020,19.800,60.000,.000
2,.020,21.000,60.000,.000
2,.020,22.200,60.000,.000
2,.020,23.400,60.000,.000
2,.020,24.600,60.000,.000
2,.020,25.800,60.000,.000
2,.020,27.000,60.000,.000
2,.020,28.200,60.000,.000
2,.020,29.400,60.000,.000
2,.020,30.600,60.000,.000
2,.020,31.800,60.000,.000
2,.020,33.000,60.000,.000
2,.020,34.200,60.000,.000
2,.020,35.400,60.000,.000
2,.020,36.600,60.000,.000
2,.020,37.800,60.000,.000
2,.020,39.000,60.000,.000
2,.020,40.200,60.000,.000
2,.020,41.400,60.000,.000
2,.020,42.600,60.000,.000
2,.020,43.800,60.000,.000
2,.020,45.000,60.000,.000
2,.020,46.200,60.000,.000
2,.020,47.400,60.000,.000
2,.020,48.600,60.000,.000
2,.020,49.800,60.000,.000
2,.020,51.000,60.000,.000
2,.020,52.200,60.000,.000
2,.020,53.400,60.000,.000
2,.020,54.600,60.000,.000
2,.020,55.800,60.000,.000
2,.020,57.000,60.000,.000
2,.020,58.200,60.000,.000
2,.020,59.400,60.000,.000
2,.020,60.600,60.000,.000
2,.020,61.800,60.000,.000
2,.020,63.000,60.000,.000
2,.020,64.200,60.000,.000
2,.020,65.400,60.000,.000
2,.020,66.600,60.000,.000
2,.020,67.800,60.000,.000
2,.020,69.000,60.000,.000
2,.020,70.200,60.000,.000
2,.020,71.400,60.000,.000
2,.020,72.600,60.000,.000
2,.020,73.800,60.000,.000
2,.020,75.000,60.000,.000
2,.020,76.200,60.000,.000
2,.020,77.400,60.000,.000
2,.020,78.600,60.000,.000
2,.020,79.800,60.000,.000
3,.020,81.000,60.000,-200.000
3,.020,82.160,56.000,-200.000
3,.020,83.240,52.000,-200.000
3,.020,84.240,48.000,-200.000
3,.020,85.160,44.000,-200.000
3,.020,86.000,40.000,-200.000
3,.020,86.760,36.000,-200.000
3,.020,87.440,32.000,-200.000
3,.020,88.040,28.000,-200.000
3,.020,88.560,24.000,-200.000
3,.020,89.000,20.000,-200.000
3,.020,89.360,16.000,-200.000
3,.020,89.640,12.000,-200.000
3,.020,89.840,8.000,-200.000
3,.020,89.960,4.000,-200.000
3,.020,90.000,.000,.000
