Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,60.000
1,.020,.012,1.200,60.000
1,.020,.048,2.400,60.000
1,.020,.108,3.600,60.000
1,.020,.192,4.800,60.000
1,.020,.300,6.000,60.000
1,.020,.432,7.200,60.000
1,.020,.588,8.400,60.000
1,.020,.768,9.600,60.000
1,.020,.972,10.800,60.000
1,.020,1.200,12.000,60.000
2,.020,1.200,12.000,.000
2,.020,1.440,12.000,.000
2,.020,1.680,12.000,.000
2,.020,1.920,12.000,.000
2,.020,2.160,12.000,.000
2,.020,2.400,12.000,.000
2,.020,2.640,12.000,.000
2,.020,2.880,12.000,.000
2,.020,3.120,12.000,.000
2,.020,3.360,12.000,.000
2,.020,3.600,12.000,.000
2,.020,3.840,12.000,.000
2,.020,4.080,12.000,.000
2,.020,4.320,12.000,.000
2,.020,4.560,12.000,.000
2,.020,4.800,12.000,.000
2,.020,5.040,12.000,.000
2,.020,5.280,12.000,.000
2,.020,5.520,12.000,.000
2,.020,5.760,12.000,.000
2,.020,6.000,12.000,.000
2,.020,6.240,12.000,.000
2,.020,6.480,12.000,.000
2,.020,6.720,12.000,.000
2,.020,6.960,12.000,.000
2,.020,7.200,12.000,.000
2,.020,7.440,12.000,.000
2,.020,7.680,12.000,.000
2,.020,7.920,12.000,.000
2,.020,8.160,12.000,.000
2,.020,8.400,12.000,.000
2,.020,8.640,12.000,.000
2,.020,8.880,12.000,.000
2,.020,9.120,12.000,.000
2,.020,9.360,12.000,.000
2,.020,9.600,12.000,.000
2,.020,9.840,12.000,.000
2,.020,10.080,12.000,.000
2,.020,10.320,12.000,.000
2,.020,10.560,12.000,.000
3,.020,10.800,12.000,-60.000
3,.020,11.028,10.800,-60.000
3,.020,11.232,9.600,-60.000
3,.020,11.412,8.400,-60.000
3,.020,11.568,7.200,-60.000
3,.020,11.700,6.000,-60.000
3,.020,11.808,4.800,-60.000
3,.020,11.892,3.600,-60.000
3,.020,11.952,2.400,-60.000
3,.020,11.988,1.200,-60.000
3,.020,12.000,.000,.000
