Segment Number,Time,Position,Velocity,Acceleration
1,.020,-.000,-.000,-240.000
1,.020,-.048,-4.800,-240.000
1,.020,-.192,-9.600,-240.000
1,.020,-.432,-14.400,-240.000
1,.020,-.768,-19.200,-240.000
2,.020,-1.200,-24.000,.000
2,.020,-1.680,-24.000,.000
2,.020,-2.160,-24.000,.000
2,.020,-2.640,-24.000,.000
2,.020,-3.120,-24.000,.000
2,.020,-3.600,-24.000,.000
2,.020,-4.080,-24.000,.000
2,.020,-4.560,-24.000,.000
2,.020,-5.040,-24.000,.000
2,.020,-5.520,-24.000,.000
2,.020,-6.000,-24.000,.000
2,.020,-6.480,-24.000,.000
2,.020,-6.960,-24.000,.000
2,.020,-7.440,-24.000,.000
2,.020,-7.920,-24.000,.000
2,.020,-8.400,-24.000,.000
2,.020,-8.880,-24.000,.000
2,.020,-9.360,-24.000,.000
2,.020,-9.840,-24.000,.000
2,.020,-10.320,-24.000,.000
2,.020,-10.800,-24.000,.000
2,.020,-11.280,-24.000,.000
2,.020,-11.760,-24.000,.000
2,.020,-12.240,-24.000,.000
2,.020,-12.720,-24.000,.000
2,.020,-13.200,-24.000,.000
2,.020,-13.680,-24.000,.000
2,.020,-14.160,-24.000,.000
2,.020,-14.640,-24.000,.000
2,.020,-15.120,-24.000,.000
2,.020,-15.600,-24.000,.000
2,.020,-16.080,-24.000,.000
2,.020,-16.560,-24.000,.000
2,.020,-17.040,-24.000,.000
2,.020,-17.520,-24.000,.000
2,.020,-18.000,-24.000,.000
2,.020,-18.480,-24.000,.000
2,.020,-18.960,-24.000,.000
2,.020,-19.440,-24.000,.000
2,.020,-19.920,-24.000,.000
2,.020,-20.400,-24.000,.000
2,.020,-20.880,-24.000,.000
2,.020,-21.360,-24.000,.000
2,.020,-21.840,-24.000,.000
2,.020,-22.320,-24.000,.000
2,.020,-22.800,-24.000,.000
2,.020,-23.280,-24.000,.000
2,.020,-23.760,-24.000,.000
2,.020,-24.240,-24.000,.000
2,.020,-24.720,-24.000,.000
2,.020,-25.200,-24.000,.000
2,.020,-25.680,-24.000,.000
2,.020,-26.160,-24.000,.000
2,.020,-26.640,-24.000,.000
