Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,240.000
1,.020,.048,4.800,240.000
1,.020,.192,9.600,240.000
1,.020,.432,14.400,240.000
1,.020,.768,19.200,240.000
1,.020,1.200,24.000,240.000
1,.020,1.728,28.800,240.000
1,.020,2.352,33.600,240.000
1,.020,3.072,38.400,240.000
1,.020,3.888,43.200,240.000
1,.020,4.800,48.000,240.000
2,.020,4.800,48.000,.000
2,.020,5.760,48.000,.000
2,.020,6.720,48.000,.000
2,.020,7.680,48.000,.000
2,.020,8.640,48.000,.000
2,.020,9.600,48.000,.000
2,.020,10.560,48.000,.000
2,.020,11.520,48.000,.000
2,.020,12.480,48.000,.000
2,.020,13.440,48.000,.000
2,.020,14.400,48.000,.000
2,.020,15.360,48.000,.000
2,.020,16.320,48.000,.000
2,.020,17.280,48.000,.000
2,.020,18.240,48.000,.000
2,.020,19.200,48.000,.000
2,.020,20.160,48.000,.000
2,.020,21.120,48.000,.000
2,.020,22.080,48.000,.000
2,.020,23.040,48.000,.000
2,.020,24.000,48.000,.000
2,.020,24.960,48.000,.000
2,.020,25.920,48.000,.000
2,.020,26.880,48.000,.000
2,.020,27.840,48.000,.000
2,.020,28.800,48.000,.000
2,.020,29.760,48.000,.000
2,.020,30.720,48.000,.000
2,.020,31.680,48.000,.000
2,.020,32.640,48.000,.000
2,.020,33.600,48.000,.000
2,.020,34.560,48.000,.000
2,.020,35.520,48.000,.000
2,.020,36.480,48.000,.000
2,.020,37.440,48.000,.000
2,.020,38.400,48.000,.000
2,.020,39.360,48.000,.000
2,.020,40.320,48.000,.000
2,.020,41.280,48.000,.000
2,.020,42.240,48.000,.000
2,.020,43.200,48.000,.000
2,.020,44.160,48.000,.000
2,.020,45.120,48.000,.000
2,.020,46.080,48.000,.000
2,.020,47.040,48.000,.000
2,.020,48.000,48.000,.000
2,.020,48.960,48.000,.000
2,.020,49.920,48.000,.000
2,.020,50.880,48.000,.000
2,.020,51.840,48.000,.000
2,.020,52.800,48.000,.000
2,.020,53.760,48.000,.000
2,.020,54.720,48.000,.000
2,.020,55.680,48.000,.000
2,.020,56.640,48.000,.000
2,.020,57.600,48.000,.000
2,.020,58.560,48.000,.000
2,.020,59.520,48.000,.000
2,.020,60.480,48.000,.000
2,.020,61.440,48.000,.000
2,.020,62.400,48.000,.000
2,.020,63.360,48.000,.000
2,.020,64.320,48.000,.000
2,.020,65.280,48.000,.000
2,.020,66.240,48.000,.000
2,.020,67.200,48.000,.000
2,.020,68.160,48.000,.000
2,.020,69.120,48.000,.000
2,.020,70.080,48.000,.000
2,.020,71.040,48.000,.000
2,.020,72.000,48.000,.000
2,.020,72.960,48.000,.000
2,.020,73.920,48.000,.000
2,.020,74.880,48.000,.000
2,.020,75.840,48.000,.000
2,.020,76.800,48.000,.000
2,.020,77.760,48.000,.000
2,.020,78.720,48.000,.000
2,.020,79.680,48.000,.000
2,.020,80.640,48.000,.000
2,.020,81.600,48.000,.000
2,.020,82.560,48.000,.000
2,.020,83.520,48.000,.000
2,.020,84.480,48.000,.000
2,.020,85.440,48.000,.000
2,.020,86.400,48.000,.000
2,.020,87.360,48.000,.000
2,.020,88.320,48.000,.000
2,.020,89.280,48.000,.000
2,.020,90.240,48.000,.000
2,.020,91.200,48.000,.000
2,.020,92.160,48.000,.000
2,.020,93.120,48.000,.000
2,.020,94.080,48.000,.000
2,.020,95.040,48.000,.000
2,.020,96.000,48.000,.000
2,.020,96.960,48.000,.000
2,.020,97.920,48.000,.000
2,.020,98.880,48.000,.000
2,.020,99.840,48.000,.000
2,.020,100.800,48.000,.000
2,.020,101.760,48.000,.000
2,.020,102.720,48.000,.000
2,.020,103.680,48.000,.000
2,.020,104.640,48.000,.000
2,.020,105.600,48.000,.000
2,.020,106.560,48.000,.000
2,.020,107.520,48.000,.000
2,.020,108.480,48.000,.000
3,.020,109.200,48.000,-240.000
3,.020,110.112,43.200,-240.000
3,.020,110.928,38.400,-240.000
3,.020,111.648,33.600,-240.000
3,.020,112.272,28.800,-240.000
3,.020,112.800,24.000,-240.000
3,.020,113.232,19.200,-240.000
3,.020,113.568,14.400,-240.000
3,.020,113.808,9.600,-240.000
3,.020,113.952,4.800,-240.000
3,.020,114.000,.000,.000
