Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,240.000
1,.020,.048,4.800,240.000
1,.020,.192,9.600,240.000
1,.020,.432,14.400,240.000
1,.020,.768,19.200,240.000
1,.020,1.200,24.000,240.000
1,.020,1.728,28.800,240.000
1,.020,2.352,33.600,240.000
1,.020,3.072,38.400,240.000
2,.020,3.675,42.000,.000
2,.020,4.515,42.000,.000
2,.020,5.355,42.000,.000
2,.020,6.195,42.000,.000
2,.020,7.035,42.000,.000
2,.020,7.875,42.000,.000
3,.020,8.325,42.000,-240.000
3,.020,9.117,37.200,-240.000
3,.020,9.813,32.400,-240.000
3,.020,10.413,27.600,-240.000
3,.020,10.917,22.800,-240.000
3,.020,11.325,18.000,-240.000
3,.020,11.637,13.200,-240.000
3,.020,11.853,8.400,-240.000
3,.020,11.973,3.600,-240.000
3,.020,12.000,.000,.000
