Segment Number,Time,Position,Velocity,Acceleration
1.000,.000,.000,.000,1800.000
1.000,.020,.360,36.000,1800.000
1.000,.040,1.440,72.000,1800.000
1.000,.060,3.240,108.000,1800.000
1.000,.080,5.760,144.000,1800.000
2.000,.100,9.000,180.000,.000
2.000,.120,12.600,180.000,.000
2.000,.140,16.200,180.000,.000
2.000,.160,19.800,180.000,.000
2.000,.180,23.400,180.000,.000
2.000,.200,27.000,180.000,.000
2.000,.220,30.600,180.000,.000
2.000,.240,34.200,180.000,.000
2.000,.260,37.800,180.000,.000
2.000,.280,41.400,180.000,.000
2.000,.300,45.000,180.000,.000
2.000,.320,48.600,180.000,.000
2.000,.340,52.200,180.000,.000
2.000,.360,55.800,180.000,.000
2.000,.380,59.400,180.000,.000
2.000,.400,63.000,180.000,.000
2.000,.420,66.600,180.000,.000
2.000,.440,70.200,180.000,.000
2.000,.460,73.800,180.000,.000
2.000,.480,77.400,180.000,.000
3.000,.500,81.000,180.000,-1800.000
3.000,.520,84.240,144.000,-1800.000
3.000,.540,86.760,108.000,-1800.000
3.000,.560,88.560,72.000,-1800.000
3.000,.580,89.640,36.000,-1800.000
