Segment Number,Time,Position,Velocity,Acceleration
1,.020,.000,.000,200.000
1,.020,.040,4.000,200.000
1,.020,.160,8.000,200.000
1,.020,.360,12.000,200.000
1,.020,.640,16.000,200.000
1,.020,1.000,20.000,200.000
1,.020,1.440,24.000,200.000
1,.020,1.960,28.000,200.000
1,.020,2.560,32.000,200.000
1,.020,3.240,36.000,200.000
1,.020,4.000,40.000,200.000
1,.020,4.840,44.000,200.000
2,.020,5.062,45.000,.000
2,.020,5.962,45.000,.000
2,.020,6.863,45.000,.000
2,.020,7.763,45.000,.000
2,.020,8.663,45.000,.000
2,.020,9.563,45.000,.000
2,.020,10.463,45.000,.000
2,.020,11.363,45.000,.000
2,.020,12.263,45.000,.000
2,.020,13.163,45.000,.000
2,.020,14.063,45.000,.000
2,.020,14.963,45.000,.000
2,.020,15.863,45.000,.000
2,.020,16.763,45.000,.000
2,.020,17.663,45.000,.000
2,.020,18.563,45.000,.000
2,.020,19.463,45.000,.000
2,.020,20.363,45.000,.000
2,.020,21.263,45.000,.000
2,.020,22.163,45.000,.000
2,.020,23.063,45.000,.000
2,.020,23.963,45.000,.000
2,.020,24.863,45.000,.000
2,.020,25.763,45.000,.000
2,.020,26.663,45.000,.000
2,.020,27.563,45.000,.000
2,.020,28.463,45.000,.000
2,.020,29.363,45.000,.000
2,.020,30.263,45.000,.000
2,.020,31.163,45.000,.000
2,.020,32.063,45.000,.000
2,.020,32.963,45.000,.000
2,.020,33.863,45.000,.000
2,.020,34.763,45.000,.000
2,.020,35.663,45.000,.000
2,.020,36.563,45.000,.000
2,.020,37.463,45.000,.000
2,.020,38.363,45.000,.000
2,.020,39.263,45.000,.000
2,.020,40.163,45.000,.000
2,.020,41.063,45.000,.000
2,.020,41.963,45.000,.000
2,.020,42.863,45.000,.000
2,.020,43.763,45.000,.000
2,.020,44.663,45.000,.000
2,.020,45.563,45.000,.000
2,.020,46.463,45.000,.000
2,.020,47.363,45.000,.000
2,.020,48.263,45.000,.000
2,.020,49.163,45.000,.000
2,.020,50.063,45.000,.000
2,.020,50.963,45.000,.000
2,.020,51.863,45.000,.000
2,.020,52.763,45.000,.000
2,.020,53.663,45.000,.000
2,.020,54.563,45.000,.000
2,.020,55.463,45.000,.000
2,.020,56.363,45.000,.000
2,.020,57.263,45.000,.000
2,.020,58.163,45.000,.000
2,.020,59.063,45.000,.000
2,.020,59.963,45.000,.000
2,.020,60.863,45.000,.000
2,.020,61.763,45.000,.000
2,.020,62.663,45.000,.000
2,.020,63.563,45.000,.000
2,.020,64.463,45.000,.000
2,.020,65.363,45.000,.000
2,.020,66.263,45.000,.000
2,.020,67.163,45.000,.000
2,.020,68.063,45.000,.000
2,.020,68.963,45.000,.000
2,.020,69.863,45.000,.000
2,.020,70.763,45.000,.000
2,.020,71.663,45.000,.000
2,.020,72.563,45.000,.000
2,.020,73.463,45.000,.000
2,.020,74.363,45.000,.000
2,.020,75.263,45.000,.000
2,.020,76.163,45.000,.000
2,.020,77.063,45.000,.000
2,.020,77.963,45.000,.000
2,.020,78.863,45.000,.000
2,.020,79.763,45.000,.000
2,.020,80.663,45.000,.000
2,.020,81.563,45.000,.000
2,.020,82.463,45.000,.000
2,.020,83.363,45.000,.000
2,.020,84.263,45.000,.000
3,.020,84.938,45.000,-200.000
3,.020,85.797,41.000,-200.000
3,.020,86.578,37.000,-200.000
3,.020,87.278,33.000,-200.000
3,.020,87.897,29.000,-200.000
3,.020,88.438,25.000,-200.000
3,.020,88.897,21.000,-200.000
3,.020,89.278,17.000,-200.000
3,.020,89.578,13.000,-200.000
3,.020,89.797,9.000,-200.000
3,.020,89.938,5.000,-200.000
3,.020,89.998,1.000,-200.000
3,.020,90.000,.000,.000
